 number_of_ancestors | child_occurences 
                2393 |                5
                2407 |                3
                2408 |               16
                2410 |                1
                2411 |                1
                2413 |                1
                2414 |                5
                2422 |                1
                2423 |                5
                2462 |                2
                2463 |               10
                2478 |                1
                2479 |                6
                2481 |                1
                2482 |                1
                2494 |                1
                2495 |                6
                2502 |                1
                2503 |                5
                2504 |                4
                2506 |                1
                2507 |                5
                2510 |                1
                2511 |                6
                2536 |                1
                2537 |                6
                2538 |                1
                2539 |                6
                2545 |                1
                2546 |                5
                2560 |                1
                2561 |                5
                2572 |                3
                2573 |               15
                2590 |                2
                2591 |               11
                2599 |                1
                2600 |                4
                2608 |                1
                2609 |                6
                2611 |                1
                2612 |                1
                2626 |                2
                2627 |               11
                2635 |                1
                2636 |                4
                2638 |                1
                2639 |                6
                2641 |                1
                2642 |                1
                2644 |                1
                2645 |                6
                2702 |                1
                2703 |                5
                2707 |                1
                2708 |                5
                2725 |                1
                2726 |                5
                2734 |                2
                2735 |               11
                2750 |                1
                2751 |                5
                2758 |                1
                2759 |                5
                2770 |                5
                2771 |               29
                2773 |                2
                2774 |                7
                2776 |                1
                2777 |                1
                2779 |                1
                2780 |                4
                2818 |                1
                2819 |                5
                2839 |                2
                2840 |                8
                2845 |                2
                2846 |               11
                2848 |                1
                2849 |                1
                2878 |                1
                2879 |                6
                2910 |                1
                2911 |                6
                2913 |                1
                2914 |                2
                2915 |                5
                2926 |                1
                2927 |                6
                2929 |                1
                2930 |                1
                2962 |                1
                2963 |                6
                2965 |                1
                2966 |                1
                2968 |                3
                2969 |               16
                3014 |                1
                3015 |                4
                3028 |                1
                3029 |                6
                3046 |                1
                3047 |                4
                3064 |                1
                3065 |                5
                3078 |                1
                3079 |                5
                3082 |                1
                3083 |                6
                3086 |                1
                3087 |                4
                3094 |                1
                3095 |                5
                3100 |                1
                3101 |                5
                3102 |                1
                3103 |                7
                3104 |                6
                3112 |                1
                3113 |                6
                3157 |                2
                3158 |                8
                3166 |                4
                3167 |               22
                3169 |                1
                3170 |                1
                3175 |                1
                3176 |                4
                3238 |                1
                3239 |                6
                3283 |                1
                3284 |                5
                3331 |                1
                3332 |                5
                3334 |                1
                3335 |                4
                3342 |                1
                3343 |                6
                3345 |                1
                3346 |                1
                3364 |                2
                3365 |               12
                3367 |                2
                3368 |                5
                3382 |                1
                3383 |                6
                3386 |                1
                3387 |                5
                3448 |                1
                3449 |                5
                3454 |                1
                3455 |                5
                3481 |                1
                3482 |                5
                3502 |                1
                3503 |                6
                3511 |                1
                3512 |                4
                3562 |                2
                3563 |               11
                3589 |                1
                3590 |                6
                3634 |                1
                3635 |                5
                3664 |                1
                3665 |                5
                3694 |                1
                3695 |                5
                3721 |                1
                3722 |                5
                3742 |                1
                3743 |                5
                3760 |                1
                3761 |                6
                3763 |                1
                3764 |                1
                3766 |                1
                3767 |                6
                3787 |                2
                3788 |                8
                3793 |                1
                3794 |                6
                3796 |                1
                3797 |                1
                3868 |                1
                3869 |                5
                3878 |                1
                3879 |                6
                3886 |                2
                3887 |               11
                3889 |                1
                3890 |                1
                3910 |                1
                3911 |                6
                3937 |                1
                3938 |                5
                3940 |                1
                3941 |                6
                3946 |                1
                3947 |                5
                3949 |                1
                3950 |                5
                3967 |                1
                3968 |                6
                3970 |                1
                3971 |                1
                3974 |                1
                3975 |                4
                4002 |                1
                4003 |                5
                4030 |                1
                4031 |                5
                4102 |                1
                4103 |                6
                4126 |                1
                4127 |                6
                4129 |                1
                4130 |                1
                4150 |                1
                4151 |                5
                4210 |                1
                4211 |                6
                4228 |                1
                4229 |                6
                4240 |                1
                4241 |                5
                4249 |                1
                4250 |                4
                4255 |                1
                4256 |                5
                4310 |                1
                4311 |                6
                4313 |                1
                4314 |                1
                4318 |                1
                4319 |                5
                4334 |                1
                4335 |                6
                4387 |                1
                4388 |                4
                4510 |                1
                4511 |                5
                4518 |                1
                4519 |                4
                4534 |                1
                4535 |                6
                4537 |                1
                4538 |                1
                4543 |                1
                4544 |                6
                4566 |                1
                4567 |                4
                4606 |                1
                4607 |                5
                4624 |                1
                4625 |                6
                4642 |                1
                4643 |                5
                4750 |                1
                4751 |                6
                4768 |                1
                4769 |                5
                4786 |                1
                4787 |                6
                4792 |                1
                4793 |                5
                4846 |                1
                4847 |                5
                4894 |                1
                4895 |                5
                5022 |                1
                5023 |                6
                5025 |                1
                5026 |                1
                5029 |                1
                5030 |                5
                5074 |                1
                5075 |                5
                5092 |                1
                5093 |                5
                5149 |                1
                5150 |                6
                5152 |                1
                5153 |                1
                5182 |                1
                5183 |                5
                5188 |                1
                5189 |                6
                5227 |                1
                5228 |                4
                5287 |                1
                5288 |                4
                5356 |                1
                5357 |                5
                5416 |                1
                5417 |                5
                5470 |                2
                5471 |               10
                5550 |                1
                5551 |                4
                5557 |                1
                5558 |                4
                5638 |                1
                5639 |                6
                5641 |                1
                5642 |                1
                5758 |                1
                5759 |                6
                5761 |                1
                5762 |                1
                5803 |                1
                5804 |                6
                5806 |                1
                5807 |                1
                5830 |                1
                5831 |                4
                5866 |                1
                5867 |                6
                5934 |                1
                5935 |                4
                5983 |                1
                5984 |                6
                5986 |                1
                5987 |                1
                6166 |                1
                6167 |                5
                6226 |                1
                6227 |                5
                6343 |                1
                6344 |                4
                6502 |                1
                6503 |                6
                6510 |                1
                6511 |                6
                6513 |                1
                6514 |                1
                6694 |                1
                6695 |                4
                6838 |                1
                6839 |                6
                7126 |                1
                7127 |                6
                7153 |                1
                7154 |                6
                7264 |                1
                7265 |                6
                7531 |                1
                7532 |                4
                7597 |                1
                7598 |                4
                7639 |                1
                7640 |                6
                7708 |                1
                7709 |                6
                7711 |                1
                7712 |                1
                7822 |                1
                7823 |                6
                7900 |                1
                7901 |                5
                7945 |                1
                7946 |                4
                8206 |                1
                8207 |                5
                8302 |                1
                8303 |                5
                8630 |                1
                8631 |                4
                9340 |                1
                9341 |                6
                9502 |                1
                9503 |                6
                9538 |                1
                9539 |                5
                9574 |                1
                9575 |                5
                9778 |                1
                9779 |                6
               10186 |                1
               10187 |                5
               10378 |                1
               10379 |                5
               10942 |                1
               10943 |                6
               11287 |                1
               11288 |                4
               11416 |                1
               11417 |                6
               11425 |                1
               11426 |                5
               11734 |                1
               11735 |                6
               11851 |                1
               11852 |                6
               11878 |                1
               11879 |                6
               11887 |                1
               11888 |                6
               11923 |                1
               11924 |                5
               11977 |                1
               11978 |                4
               12310 |                1
               12311 |                5
               12733 |                1
               12734 |                6
               13678 |                1
               13679 |                5
               13690 |                1
               13691 |                6
               13693 |                1
               13694 |                1
               14308 |                1
               14309 |                6
               15046 |                1
               15047 |                5
               15280 |                1
               15281 |                5
               15427 |                1
               15428 |                4
               15802 |                1
               15803 |                6
               16414 |                1
               16415 |                5
               16693 |                1
               16694 |                5
               17782 |                1
               17783 |                6
               17827 |                1
               17828 |                6
               19078 |                1
               19079 |                5
               19150 |                1
